                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.70294,                0.56563,                 1.0991,                0.98418,                0.98808,                0.99199,                0.84293,                 0.6278,                0.40362,                 1.0398,             0.00055188,             0.00055188,             0.00055188
                     64,                0.71559,                0.58481,                 1.1052,                0.98621,                0.99253,                0.99467,                0.86295,                0.55747,                0.38013,                 1.0059,             0.00053773,             0.00053773,             0.00053773
                     65,                0.68853,                0.57105,                  1.099,                0.98828,                0.99587,                0.99479,                0.86999,                0.54036,                0.36794,                0.99775,             0.00052359,             0.00052359,             0.00052359
                     66,                0.69125,                0.56197,                 1.1017,                 0.9864,                0.98988,                0.99486,                0.87325,                 0.5291,                0.35939,                0.98973,             0.00050944,             0.00050944,             0.00050944
                     67,                0.66814,                0.54832,                 1.0804,                 0.9841,                0.99195,                0.99481,                0.87348,                0.52303,                0.34788,                0.97975,             0.00049529,             0.00049529,             0.00049529
                     68,                0.66227,                0.55447,                 1.0829,                0.98879,                 0.9833,                0.99393,                0.86079,                0.53998,                0.36952,                0.99225,             0.00048114,             0.00048114,             0.00048114
                     69,                0.66505,                0.53959,                 1.0704,                 0.9809,                0.98389,                0.99371,                0.86428,                0.54059,                0.36408,                0.98936,               0.000467,               0.000467,               0.000467
                     70,                0.66201,                0.53201,                 1.0831,                0.98435,                0.98881,                0.99418,                0.87314,                0.53527,                0.35214,                0.98902,             0.00045285,             0.00045285,             0.00045285
                     71,                0.68289,                0.54839,                  1.088,                0.98139,                0.99311,                0.99374,                0.87503,                0.52813,                  0.351,                0.98335,              0.0004387,              0.0004387,              0.0004387
                     72,                0.67586,                0.55921,                 1.0886,                0.99303,                0.98575,                0.99453,                0.87763,                0.51752,                0.35235,                0.97695,             0.00042456,             0.00042456,             0.00042456
                     73,                0.65873,                0.55199,                 1.0643,                0.98688,                0.99018,                 0.9947,                0.87175,                0.52874,                0.35428,                0.98111,             0.00041041,             0.00041041,             0.00041041
                     74,                0.67963,                0.54149,                 1.0764,                0.98938,                0.99097,                0.99464,                0.87656,                0.51279,                0.34186,                0.97384,             0.00039626,             0.00039626,             0.00039626
                     75,                0.64475,                0.53988,                 1.0756,                0.99607,                0.99258,                0.99488,                0.88975,                 0.4883,                0.31899,                0.96034,             0.00038211,             0.00038211,             0.00038211
                     76,                0.63066,                0.49413,                 1.0686,                0.99478,                0.99238,                0.99492,                0.89361,                0.47495,                0.31134,                0.94911,             0.00036797,             0.00036797,             0.00036797
                     77,                  0.642,                0.52454,                 1.0825,                0.99503,                0.99534,                 0.9949,                0.89367,                0.47666,                0.31623,                0.94804,             0.00035382,             0.00035382,             0.00035382
                     78,                0.63357,                0.50927,                 1.0705,                0.99661,                0.99587,                0.99498,                0.89651,                0.46545,                0.31154,                0.94602,             0.00033967,             0.00033967,             0.00033967
                     79,                0.59684,                0.48838,                 1.0472,                0.99385,                0.99587,                0.99484,                0.89901,                0.45785,                0.30631,                0.94104,             0.00032553,             0.00032553,             0.00032553
                     80,                0.65535,                0.51552,                 1.0785,                0.99058,                0.99188,                0.99378,                0.89131,                0.46866,                0.31264,                0.94561,             0.00031138,             0.00031138,             0.00031138
                     81,                0.59846,                0.48226,                 1.0472,                0.99008,                 0.9939,                0.99484,                0.89601,                0.46493,                0.30785,                0.94022,             0.00029723,             0.00029723,             0.00029723
                     82,                0.61628,                0.49375,                 1.0485,                0.98921,                0.99387,                0.99468,                0.90124,                0.45059,                0.30608,                0.93412,             0.00028308,             0.00028308,             0.00028308
                     83,                0.61113,                 0.4976,                 1.0435,                0.99237,                0.98988,                0.99482,                0.89641,                0.45673,                 0.3054,                0.93876,             0.00026894,             0.00026894,             0.00026894
                     84,                0.60899,                0.47898,                 1.0422,                0.99614,                0.99188,                0.99377,                0.90587,                0.44643,                0.29336,                0.92961,             0.00025479,             0.00025479,             0.00025479
