                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.79326,                0.69694,                 1.1435,                0.97434,                0.97647,                0.98948,                 0.8226,                0.67531,                0.48021,                 1.0654,             0.00077823,             0.00077823,             0.00077823
                     48,                0.78254,                0.71005,                 1.1562,                0.98417,                0.96996,                0.98942,                0.82405,                0.65374,                0.46552,                 1.0621,             0.00076409,             0.00076409,             0.00076409
                     49,                0.80711,                0.68763,                 1.1492,                0.97923,                0.97877,                0.99166,                0.83215,                0.64734,                0.45218,                 1.0513,             0.00074994,             0.00074994,             0.00074994
                     50,                 0.7815,                 0.6866,                 1.1377,                 0.9717,                 0.9742,                0.98918,                0.82155,                0.64683,                0.46613,                 1.0556,             0.00073579,             0.00073579,             0.00073579
                     51,                0.77554,                0.67075,                 1.1252,                0.96995,                0.96631,                0.98567,                0.81183,                0.65265,                0.45953,                 1.0551,             0.00072164,             0.00072164,             0.00072164
                     52,                0.77657,                0.66707,                 1.1438,                0.97698,                0.98503,                0.99001,                0.84045,                 0.6025,                0.41216,                 1.0226,              0.0007075,              0.0007075,              0.0007075
                     53,                0.72777,                0.63224,                 1.1012,                0.97915,                0.97788,                0.98916,                0.84779,                0.59705,                0.42299,                 1.0208,             0.00069335,             0.00069335,             0.00069335
                     54,                0.75539,                 0.6225,                 1.1194,                0.98125,                0.97208,                0.98853,                0.84327,                0.62044,                0.43319,                 1.0287,              0.0006792,              0.0006792,              0.0006792
                     55,                0.77647,                0.66417,                 1.1497,                0.96499,                0.98781,                0.98993,                0.83883,                0.61607,                0.43049,                 1.0287,             0.00066506,             0.00066506,             0.00066506
                     56,                0.72728,                0.63415,                 1.1137,                0.98539,                0.97435,                0.98759,                0.84463,                0.60528,                0.41879,                 1.0208,             0.00065091,             0.00065091,             0.00065091
                     57,                0.72092,                0.60313,                 1.0951,                0.97825,                0.98431,                0.99409,                0.85041,                0.60248,                0.42294,                 1.0196,             0.00063676,             0.00063676,             0.00063676
                     58,                0.74381,                0.62243,                 1.1011,                0.97341,                0.99129,                0.99394,                0.84045,                0.60732,                0.42643,                 1.0214,             0.00062262,             0.00062262,             0.00062262
                     59,                0.75281,                0.60392,                 1.1059,                0.98098,                0.98429,                0.99406,                0.85294,                0.58298,                0.40771,                 1.0081,             0.00060847,             0.00060847,             0.00060847
                     60,                 0.7129,                0.59944,                 1.0959,                0.98673,                0.99033,                0.99447,                0.86209,                0.56794,                0.39361,                      1,             0.00059432,             0.00059432,             0.00059432
                     61,                0.71199,                0.58166,                 1.1027,                0.98536,                0.97762,                0.99326,                0.85473,                 0.5648,                0.39955,                 1.0039,             0.00058017,             0.00058017,             0.00058017
                     62,                0.70466,                 0.5892,                 1.0983,                0.97951,                0.98999,                0.99238,                0.86148,                0.55791,                0.39516,                0.99548,             0.00056603,             0.00056603,             0.00056603
                     63,                0.70593,                0.59896,                 1.1009,                0.98208,                0.98361,                0.99406,                0.85867,                0.55375,                0.39424,                0.99162,             0.00055188,             0.00055188,             0.00055188
